opinion,score,sentiment,neg,neu,pos,compound,vader_sentiment
Sometimes the machine fails to start even when scheduled. Definitely not worth the high price tag.,2.0,negative,0.221,0.645,0.134,-0.194,negative
There are random error messages with no explanation. It failed to meet even my basic expectations.,2.0,negative,0.387,0.613,0.0,-0.802,negative
Cleaning the internal parts is harder than it should be. I’ll be switching back to a simpler machine.,1.0,negative,0.0,1.0,0.0,0.0,neutral
This coffee maker has completely changed my morning routine. Definitely worth the price in my opinion.,5.0,positive,0.0,0.753,0.247,0.5574,positive
Build quality feels premium and sturdy on the counter. It’s become an essential part of my kitchen.,5.0,positive,0.0,1.0,0.0,0.0,neutral
The coffee taste is inconsistent from cup to cup. I expected much better performance.,1.0,negative,0.0,0.818,0.182,0.4404,positive
Setup was confusing and the manual isn’t very clear. Definitely not worth the high price tag.,2.0,negative,0.166,0.56,0.274,0.5115,positive
The app disconnects frequently and is frustrating to use. I’ll be switching back to a simpler machine.,2.0,negative,0.153,0.847,0.0,-0.4404,negative
The build quality feels cheap for the price. I wouldn’t buy from this brand again.,1.0,negative,0.0,1.0,0.0,0.0,neutral
The app scheduling feature works flawlessly and is very convenient. Definitely worth the price in my opinion.,5.0,positive,0.0,0.669,0.331,0.7133,positive
Sometimes the machine fails to start even when scheduled. It feels more like a beta product than a finished one.,2.0,negative,0.119,0.763,0.118,-0.0018,neutral
It’s louder than I expected when brewing. Definitely not worth the high price tag.,2.0,negative,0.102,0.733,0.165,0.2579,positive
Cleaning the internal parts is harder than it should be. I expected much better performance.,2.0,negative,0.0,0.828,0.172,0.4404,positive
The customization options for strength and size are fantastic. I would happily buy this again.,5.0,positive,0.0,0.536,0.464,0.886,positive
The app disconnects frequently and is frustrating to use. It feels more like a beta product than a finished one.,1.0,negative,0.122,0.76,0.118,-0.0276,neutral
"It looks sleek and modern, and guests always compliment it. Highly recommend it to any coffee lover.",4.0,positive,0.0,0.591,0.409,0.8655,positive
The app scheduling feature works flawlessly and is very convenient. I’m impressed and would recommend it to friends.,4.0,positive,0.0,0.565,0.435,0.8678,positive
Cleaning the internal parts is harder than it should be. It failed to meet even my basic expectations.,1.0,negative,0.163,0.837,0.0,-0.5106,negative
"The coffee often comes out lukewarm instead of hot. If I could return it easily, I would.",2.0,negative,0.0,0.87,0.13,0.34,positive
It’s louder than I expected when brewing. This has been a disappointing experience.,1.0,negative,0.211,0.789,0.0,-0.4939,negative
"Cleaning the internal parts is harder than it should be. Overall, I regret buying this product.",1.0,negative,0.157,0.843,0.0,-0.4215,negative
Sometimes the machine fails to start even when scheduled. I wouldn’t buy from this brand again.,1.0,negative,0.157,0.843,0.0,-0.4215,negative
The water tank is small and needs constant refilling. I expected much better performance.,2.0,negative,0.0,0.818,0.182,0.4404,positive
The coffee taste is inconsistent from cup to cup. I wouldn’t recommend this to others.,2.0,negative,0.0,0.848,0.152,0.3612,positive
Build quality feels premium and sturdy on the counter. I would happily buy this again.,5.0,positive,0.0,0.795,0.205,0.5574,positive
Sometimes the machine fails to start even when scheduled. I wouldn’t recommend this to others.,1.0,negative,0.153,0.71,0.137,-0.0772,negative
There are random error messages with no explanation. This has been a disappointing experience.,1.0,negative,0.424,0.576,0.0,-0.7964,negative
"Sometimes the machine fails to start even when scheduled. Overall, I regret buying this product.",1.0,negative,0.301,0.699,0.0,-0.6808,negative
"Heating time is super fast, so I don't wait long for my coffee. I would happily buy this again.",5.0,positive,0.0,0.694,0.306,0.8176,positive
"It looks sleek and modern, and guests always compliment it. Overall, I’m very satisfied with this purchase.",5.0,positive,0.0,0.708,0.292,0.7346,positive
The customization options for strength and size are fantastic. It’s become an essential part of my kitchen.,4.0,positive,0.0,0.688,0.312,0.7783,positive
Cleaning is easy thanks to the removable tank and filter basket. Highly recommend it to any coffee lover.,5.0,positive,0.0,0.53,0.47,0.908,positive
The water tank is small and needs constant refilling. It feels more like a beta product than a finished one.,2.0,negative,0.0,0.872,0.128,0.4201,positive
"The app disconnects frequently and is frustrating to use. If I could return it easily, I would.",2.0,negative,0.143,0.739,0.118,-0.128,negative
Setup was confusing and the manual isn’t very clear. It failed to meet even my basic expectations.,1.0,negative,0.244,0.626,0.129,-0.3758,negative
Setup was confusing and the manual isn’t very clear. I wouldn’t buy from this brand again.,2.0,negative,0.101,0.745,0.154,0.2484,positive
Setup was confusing and the manual isn’t very clear. It feels more like a beta product than a finished one.,1.0,negative,0.077,0.691,0.231,0.584,positive
The app disconnects frequently and is frustrating to use. It failed to meet even my basic expectations.,2.0,negative,0.292,0.708,0.0,-0.7351,negative
Cleaning is easy thanks to the removable tank and filter basket. I’m genuinely enjoying coffee more because of this.,4.0,positive,0.0,0.635,0.365,0.8481,positive
The machine is quiet compared to my previous coffee makers. Highly recommend it to any coffee lover.,4.0,positive,0.0,0.695,0.305,0.7645,positive
Setup was confusing and the manual isn’t very clear. This has been a disappointing experience.,1.0,negative,0.255,0.6,0.145,-0.2975,negative
The machine is quiet compared to my previous coffee makers. This is one of the best appliances I own.,4.0,positive,0.0,0.811,0.189,0.6369,positive
This coffee maker has completely changed my morning routine. I’m impressed and would recommend it to friends.,5.0,positive,0.0,0.617,0.383,0.8271,positive
"It looks sleek and modern, and guests always compliment it. This is one of the best appliances I own.",4.0,positive,0.0,0.7,0.3,0.8074,positive
The coffee tastes rich and consistent every single time. It exceeded my expectations in every way.,4.0,positive,0.0,0.806,0.194,0.5574,positive
"I love being able to start brewing from my phone while still in bed. Overall, I’m very satisfied with this purchase.",5.0,positive,0.0,0.723,0.277,0.807,positive
"The app scheduling feature works flawlessly and is very convenient. Overall, I’m very satisfied with this purchase.",5.0,positive,0.0,0.754,0.246,0.5984,positive
Build quality feels premium and sturdy on the counter. It exceeded my expectations in every way.,5.0,positive,0.0,1.0,0.0,0.0,neutral
"The water tank is small and needs constant refilling. If I could return it easily, I would.",2.0,negative,0.0,0.87,0.13,0.34,positive
The water tank is small and needs constant refilling. I’ll be switching back to a simpler machine.,2.0,negative,0.0,1.0,0.0,0.0,neutral
The coffee tastes rich and consistent every single time. I’m genuinely enjoying coffee more because of this.,4.0,positive,0.0,0.682,0.318,0.7906,positive
"The machine is quiet compared to my previous coffee makers. Overall, I’m very satisfied with this purchase.",4.0,positive,0.0,0.838,0.162,0.4754,positive
Cleaning the internal parts is harder than it should be. It feels more like a beta product than a finished one.,1.0,negative,0.0,0.877,0.123,0.4201,positive
"Heating time is super fast, so I don't wait long for my coffee. I’m impressed and would recommend it to friends.",5.0,positive,0.0,0.574,0.426,0.9118,positive
I love being able to start brewing from my phone while still in bed. I’m genuinely enjoying coffee more because of this.,5.0,positive,0.0,0.725,0.275,0.8225,positive
There are random error messages with no explanation. I wouldn’t recommend this to others.,2.0,negative,0.266,0.598,0.136,-0.34,negative
"The app disconnects frequently and is frustrating to use. Overall, I regret buying this product.",1.0,negative,0.305,0.695,0.0,-0.6908,negative
Sometimes the machine fails to start even when scheduled. I’ll be switching back to a simpler machine.,1.0,negative,0.149,0.851,0.0,-0.4215,negative
"It looks sleek and modern, and guests always compliment it. I’m genuinely enjoying coffee more because of this.",5.0,positive,0.0,0.711,0.289,0.7579,positive
"It looks sleek and modern, and guests always compliment it. Totally lives up to the marketing claims.",4.0,positive,0.0,0.838,0.162,0.4767,positive
The build quality feels cheap for the price. This has been a disappointing experience.,1.0,negative,0.198,0.802,0.0,-0.4939,negative
The coffee often comes out lukewarm instead of hot. This has been a disappointing experience.,1.0,negative,0.186,0.814,0.0,-0.4939,negative
I love being able to start brewing from my phone while still in bed. It’s become an essential part of my kitchen.,5.0,positive,0.0,0.833,0.167,0.6369,positive
The machine is quiet compared to my previous coffee makers. I’m genuinely enjoying coffee more because of this.,5.0,positive,0.0,0.833,0.167,0.5267,positive
I love being able to start brewing from my phone while still in bed. It exceeded my expectations in every way.,4.0,positive,0.0,0.826,0.174,0.6369,positive
"Setup was confusing and the manual isn’t very clear. If I could return it easily, I would.",2.0,negative,0.09,0.661,0.25,0.5256,positive
Setup was confusing and the manual isn’t very clear. I expected much better performance.,2.0,negative,0.102,0.588,0.31,0.5984,positive
"The build quality feels cheap for the price. If I could return it easily, I would.",1.0,negative,0.0,0.862,0.138,0.34,positive
The build quality feels cheap for the price. I’ll be switching back to a simpler machine.,1.0,negative,0.0,1.0,0.0,0.0,neutral
I love being able to start brewing from my phone while still in bed. I would happily buy this again.,5.0,positive,0.0,0.698,0.302,0.8316,positive
"The build quality feels cheap for the price. Overall, I regret buying this product.",1.0,negative,0.177,0.823,0.0,-0.4215,negative
"Brings back so many memories! It's exactly the classic Flash game I used to love. The port to Steam is smooth and the community is great. Highly recommended for a fun, casual strategy game.",5.0,positive,0.0,0.648,0.352,0.9412,positive
"Clash of Clans in space, but better. The unique Starling characters and colorful graphics make it very appealing. Great for quick play sessions.",4.0,positive,0.0,0.606,0.394,0.9327,positive
The developers have done an amazing job reviving this game. They actively listen to the community. 10/10 nostalgia bomb!,5.0,positive,0.125,0.625,0.25,0.4926,positive
Perfect time-killer. Very easy to get into and start building your empire. Love the Alliance Wars feature.,5.0,positive,0.13,0.469,0.401,0.8173,positive
A faithful recreation of the original. Everything I loved is here. The graphics still hold up for this style of game.,4.0,positive,0.0,0.664,0.336,0.8442,positive
"Free to play and genuinely fun. I've been playing for weeks without feeling pressured to buy anything. Good job, devs.",5.0,positive,0.046,0.437,0.517,0.9185,positive
"Excited to see my old friends playing again. The PvP battles are strategic and fun, unlike many mobile games.",4.0,positive,0.096,0.515,0.39,0.7906,positive
Nostalgia hit! The gameplay is simple yet addictive. Highly recommend this to anyone who played the original.,5.0,positive,0.0,0.643,0.357,0.7773,positive
The Star Base upgrade system feels rewarding. A lot of content to unlock. Great strategy game for PC.,5.0,positive,0.0,0.681,0.319,0.8176,positive
Very positive community and active developers. It feels like a labor of love bringing this classic back to life.,5.0,positive,0.0,0.53,0.47,0.923,positive
"Amazing game, reminds me of my childhood. If you like base defense and attack games, this is for you.",4.0,positive,0.12,0.579,0.301,0.5719,positive
The co-op features are fun. Building up an alliance with friends adds a lot of replay value.,4.0,positive,0.0,0.614,0.386,0.8316,positive
"A truly free-to-play strategy game on Steam. The microtransactions are optional, which is fantastic.",5.0,positive,0.0,0.649,0.351,0.7579,positive
"It's a solid, charming game. Fun alien designs and decent strategy depth. Worth the download since it's free.",4.0,positive,0.0,0.483,0.517,0.9169,positive
Fantastic revival! They kept the core mechanics that made the game great. Hours of fun guaranteed.,5.0,positive,0.0,0.535,0.465,0.906,positive
"Finally on Steam! Runs perfectly on my system, and the progression speed feels fair.",5.0,positive,0.0,0.639,0.361,0.7777,positive
"Love the aesthetic and the cute, chaotic battles. Strategy elements are simple enough for anyone to pick up.",4.0,positive,0.215,0.519,0.267,0.34,positive
Highly addictive base-building and raiding game. Good balance between offense and defense.,5.0,positive,0.13,0.584,0.286,0.34,positive
"A blast from the past! Everything is just as I remember, but cleaner. A must-play for nostalgia reasons.",5.0,positive,0.0,0.879,0.121,0.3274,positive
The best Starling units are still fun to watch in combat. I'm hooked again!,4.0,positive,0.113,0.519,0.368,0.75,positive
"Zero complaints. The game is exactly what it promises: a fun, free, and nostalgic strategy experience.",5.0,positive,0.113,0.502,0.385,0.7579,positive
The UI is clean and easy to navigate. A smooth experience overall.,4.0,positive,0.0,0.641,0.359,0.6808,positive
Great for playing casually. You can log in for 15 minutes and still feel productive.,5.0,positive,0.0,0.612,0.388,0.765,positive
I appreciate the commitment to making this accessible to everyone. No paywall here.,5.0,positive,0.126,0.571,0.303,0.4767,positive
The sound design is charming. Really brings the alien world to life.,4.0,positive,0.0,0.743,0.257,0.5859,positive
The Alliance system encourages teamwork and makes the game much more social.,5.0,positive,0.0,0.791,0.209,0.4404,positive
I love the art style. The graphics are colorful and unique.,4.0,positive,0.0,0.704,0.296,0.6369,positive
The combat feels strategic. Placement of troops really matters.,5.0,positive,0.222,0.649,0.129,-0.2516,negative
"A perfect port. No unnecessary changes, just pure original fun.",5.0,positive,0.126,0.343,0.531,0.7964,positive
Worth every minute I've spent on it. Very engaging progression loop.,4.0,positive,0.0,0.662,0.338,0.5563,positive
This is what a revival should look like. Kudos to the development team!,5.0,positive,0.0,0.644,0.356,0.7263,positive
Runs flawlessly on Steam Deck. Great portable strategy game.,5.0,positive,0.0,0.543,0.457,0.7096,positive
The amount of units and buildings to unlock is vast. Keeps me coming back.,4.0,positive,0.0,1.0,0.0,0.0,neutral
"Fair matchmaking in PvP, usually against people my own level.",5.0,positive,0.0,0.796,0.204,0.3182,positive
"Easy to learn, difficult to master. Just the right balance for a strategy game.",5.0,positive,0.144,0.69,0.167,0.1027,positive
Love raiding other bases and stealing resources. Classic fun!,4.0,positive,0.212,0.343,0.445,0.6239,positive
The developers are active in the forums. It’s great to see that level of involvement.,5.0,positive,0.0,0.657,0.343,0.7783,positive
The unique tower defense aspect of your base is really cool.,4.0,positive,0.0,0.687,0.313,0.4754,positive
I've been playing since the Flash days. This is a dream come true!,5.0,positive,0.0,0.592,0.408,0.7088,positive
Great social features. Easy to chat with my alliance members.,5.0,positive,0.0,0.533,0.467,0.7906,positive
Super satisfying to successfully defend against a big attack.,4.0,positive,0.17,0.275,0.555,0.7906,positive
The resource gathering is well-paced. Never felt like I hit a massive wall.,5.0,positive,0.15,0.85,0.0,-0.2755,negative
Highly stable servers and no major bugs encountered.,5.0,positive,0.206,0.561,0.233,0.0754,positive
The music is cheerful and catchy. Great background noise while building.,4.0,positive,0.0,0.542,0.458,0.8225,positive
"My favorite childhood game, now accessible on PC. Thank you!",5.0,positive,0.0,0.58,0.42,0.6996,positive
The progression tree makes sense and is easy to follow.,4.0,positive,0.0,0.756,0.244,0.4404,positive
The variety of troop types keeps the battles interesting.,5.0,positive,0.211,0.569,0.22,0.0258,neutral
I love the little alien animations. Adds a lot of personality.,5.0,positive,0.0,0.704,0.296,0.6369,positive
"A solid 4/5, only because I wish there were more single-player missions.",4.0,positive,0.0,0.699,0.301,0.5106,positive
Surprisingly deep strategy for a seemingly simple game. I'm impressed.,5.0,positive,0.0,0.602,0.398,0.6486,positive
The developers are consistently pushing updates and new content.,5.0,positive,0.0,1.0,0.0,0.0,neutral
"Quick download, quick installation, quick fun. Zero hassle.",4.0,positive,0.0,0.68,0.32,0.5106,positive
The base customization options are diverse and fun to tinker with.,5.0,positive,0.0,0.752,0.248,0.5106,positive
I play this daily during my lunch break. Perfect time commitment.,5.0,positive,0.0,0.479,0.521,0.8271,positive
The game has a welcoming atmosphere for new players.,4.0,positive,0.0,0.734,0.266,0.4404,positive
The feeling of destroying an enemy base is unmatched!,5.0,positive,0.572,0.329,0.099,-0.8016,negative
It's the perfect blend of defense and offense strategy.,4.0,positive,0.152,0.455,0.394,0.4939,positive
I highly recommend joining an active alliance for maximum enjoyment.,5.0,positive,0.0,0.435,0.565,0.8439,positive
"The game runs smoothly, even during large-scale battles.",5.0,positive,0.271,0.729,0.0,-0.3818,negative
It truly captures the essence of the original game without being greedy.,4.0,positive,0.0,0.557,0.443,0.7321,positive
Simple controls and great responsiveness. Very polished experience.,5.0,positive,0.0,0.631,0.369,0.6249,positive
"My kids love it, and I love playing it with them. Family-friendly fun.",5.0,positive,0.0,0.4,0.6,0.926,positive
Excellent value for a free game. Easily worth $10.,4.0,positive,0.0,0.226,0.774,0.9136,positive
The Starling characters have so much personality. They are adorable.,5.0,positive,0.0,0.738,0.262,0.4939,positive
I’m still discovering new strategies after months of playing.,5.0,positive,0.0,0.816,0.184,0.2023,positive
The energy system is fair and doesn't restrict playtime too much.,4.0,positive,0.0,0.549,0.451,0.6792,positive
Great alternative to the overwhelming complexity of other strategy games.,5.0,positive,0.0,0.687,0.313,0.6249,positive
I can't believe this classic is back! Best news of the year.,5.0,positive,0.0,0.71,0.29,0.6696,positive
The global chat is active and mostly friendly. Good community vibe.,4.0,positive,0.0,0.476,0.524,0.8316,positive
The unique unit abilities add a nice tactical layer to the combat.,5.0,positive,0.148,0.556,0.296,0.34,positive
Highly recommend this game for anyone who loves tower defense and attack.,5.0,positive,0.162,0.419,0.419,0.5984,positive
"Building placement is key, which makes defending your base a fun puzzle.",4.0,positive,0.0,0.769,0.231,0.5106,positive
A truly timeless classic that has been resurrected properly.,5.0,positive,0.0,0.734,0.266,0.4404,positive
"I've introduced many friends to this, and they all love it. It's contagious fun.",5.0,positive,0.104,0.435,0.461,0.8481,positive
"The in-game tutorials, while short, cover the basics effectively.",4.0,positive,0.0,0.734,0.266,0.4404,positive
I'm happy to support the developers for bringing this back.,5.0,positive,0.0,0.556,0.444,0.7506,positive
The graphics look surprisingly crisp on a high-resolution monitor.,5.0,positive,0.0,0.784,0.216,0.296,positive
An absolute gem of a strategy game. Simple yet compelling.,4.0,positive,0.0,0.826,0.174,0.2263,positive
The alliance perks and rewards are generous and worthwhile.,5.0,positive,0.0,0.405,0.595,0.8316,positive
I've spent hours optimizing my base layout. Very engaging.,5.0,positive,0.0,0.551,0.449,0.6901,positive
The combat mechanic where you drop troops is simple and effective.,4.0,positive,0.288,0.513,0.199,-0.1027,negative
It's the best time management game on Steam right now.,5.0,positive,0.0,0.682,0.318,0.6369,positive
The Starling units are incredibly endearing. Great character design.,5.0,positive,0.0,0.646,0.354,0.6573,positive
Never thought I'd get to play this on PC. Amazing job!,4.0,positive,0.0,0.581,0.419,0.7574,positive
"I love the constant cycle of raid, build, and defend.",5.0,positive,0.0,0.682,0.318,0.6369,positive
A must-have free game for any strategy fan looking for a quick fix.,5.0,positive,0.0,0.663,0.337,0.6808,positive
"The sound effects are cute and satisfying, especially the explosions.",4.0,positive,0.0,0.571,0.429,0.7184,positive
Very well-optimized. Runs perfectly even on my older laptop.,5.0,positive,0.0,0.642,0.358,0.6666,positive
It's surprisingly easy to catch up even if you take a break.,5.0,positive,0.0,0.662,0.338,0.6249,positive
The constant small rewards keep the momentum going.,4.0,positive,0.0,0.693,0.307,0.4767,positive
Building up your base and watching it grow is extremely satisfying.,5.0,positive,0.0,0.752,0.248,0.5095,positive
The in-game store is unobtrusive and fully optional. Refreshing!,5.0,positive,0.0,1.0,0.0,0.0,neutral
This is the gold standard for reviving an old online game.,4.0,positive,0.0,1.0,0.0,0.0,neutral
"The competitive aspect is fun, but not too stressful.",5.0,positive,0.0,0.46,0.54,0.723,positive
I'm grateful the developers cared enough to bring this back.,5.0,positive,0.0,0.58,0.42,0.7003,positive
"The progression is balanced, giving you a reason to log in every day.",4.0,positive,0.0,0.833,0.167,0.34,positive
Simple yet robust strategy mechanics. Highly engaging.,5.0,positive,0.0,0.495,0.505,0.624,positive
It's a huge wave of nostalgia delivered in a perfect package.,5.0,positive,0.0,0.6,0.4,0.7184,positive
I can easily spend an hour on this and not even realize it.,4.0,positive,0.0,0.833,0.167,0.34,positive
"My highest recommendation. A fantastic, free strategy game.",5.0,positive,0.0,0.465,0.535,0.7845,positive
"The base building is too slow without spending money. It's a fun concept, but the freemium model really hurts the progression for free players.",2.0,negative,0.143,0.652,0.205,0.2525,positive
"Frequent server issues and sometimes laggy. The gameplay loop is addictive, but the technical problems need fixing.",3.0,negative,0.182,0.818,0.0,-0.5499,negative
The tutorial is non-existent. New players will struggle to figure out the advanced mechanics. Needs better guidance.,2.0,negative,0.108,0.66,0.231,0.3818,positive
"Got bored after a few hours. It’s basically just farming and waiting, the combat isn't engaging enough.",2.0,negative,0.318,0.682,0.0,-0.6742,negative
"Lots of bots in the lower-level PvP, which makes raiding less satisfying. Hope this is addressed soon.",3.0,negative,0.0,0.738,0.262,0.6518,positive
Constant grinding needed to progress past the early stages. The resource management is heavily skewed.,2.0,negative,0.0,0.833,0.167,0.4215,positive
"Extremely repetitive. It's the same raid, build, wait cycle endlessly. Lost interest fast.",1.0,negative,0.261,0.568,0.171,-0.1513,negative
"The matchmaking is terrible. I keep getting paired with players ten levels above me, making raids impossible.",1.0,negative,0.162,0.838,0.0,-0.4767,negative
"The UI is clunky and clearly designed for mobile, not PC. Needs optimization for desktop.",2.0,negative,0.122,0.727,0.151,0.1321,positive
"The unit pathing is awful. Troops get stuck or attack the wrong targets constantly, losing me battles.",2.0,negative,0.599,0.401,0.0,-0.9371,negative
Microtransactions are too aggressive. Pay-to-win elements are clearly present in the endgame.,1.0,negative,0.112,0.699,0.189,0.2732,positive
Doesn't save progress properly sometimes. Lost a full day of building once. Unacceptable.,1.0,negative,0.533,0.467,0.0,-0.8504,negative
"It's just a shameless clone of other, better mobile strategy games. Zero innovation.",2.0,negative,0.134,0.559,0.307,0.4767,positive
Waiting times for high-level upgrades are absurd. Clearly designed to push 'speed up' purchases.,1.0,negative,0.0,0.828,0.172,0.4019,positive
The community is toxic in the higher ranks. Constant trash talk and bullying.,3.0,negative,0.245,0.755,0.0,-0.5994,negative
"The game forces you to constantly check in, or you get raided into oblivion. No fun.",2.0,negative,0.153,0.847,0.0,-0.4023,negative
The developers ignore bug reports. Same issues have been around for months.,2.0,negative,0.185,0.815,0.0,-0.3612,negative
"Only playable if you are looking for pure nostalgia. As a modern game, it fails completely.",1.0,negative,0.157,0.843,0.0,-0.4215,negative
Low variety in defense options. Bases all look and defend the same way.,3.0,negative,0.144,0.753,0.103,-0.1531,negative
"The graphics are dated, even for a revival. It looks like a cheap Flash game.",1.0,negative,0.0,0.848,0.152,0.3612,positive
The game is effectively dead at high levels. No new content in sight.,2.0,negative,0.335,0.515,0.149,-0.5574,negative
"The resource cap is too low, making hoarding resources for big upgrades nearly impossible.",2.0,negative,0.139,0.861,0.0,-0.2732,negative
"It constantly disconnects me from the server, especially during crucial battles.",1.0,negative,0.223,0.777,0.0,-0.4336,negative
Too focused on PvP. Needs more single-player campaigns or objectives.,3.0,negative,0.0,0.776,0.224,0.3818,positive
The Alliance Wars are completely unbalanced. One rich player can ruin it for everyone.,2.0,negative,0.332,0.494,0.174,-0.5478,negative
The daily quests are monotonous and unrewarding. Feels like a chore.,1.0,negative,0.0,0.8,0.2,0.3612,positive
Requires too much effort for too little reward. Poor design loop.,2.0,negative,0.185,0.591,0.224,0.1494,positive
"The cost of unit training is too high, making frequent raiding discouraged.",2.0,negative,0.197,0.803,0.0,-0.4019,negative
It's just a money grab capitalizing on the old IP. Nothing new or improved.,1.0,negative,0.164,0.836,0.0,-0.3724,negative
The sound is highly annoying and repetitive. Had to mute it after five minutes.,1.0,negative,0.305,0.695,0.0,-0.6436,negative
I miss the old features that were removed in this Steam version. Disappointing.,2.0,negative,0.304,0.696,0.0,-0.5859,negative
"Too many forced ads or pop-ups, even though I've already bought the starter pack.",1.0,negative,0.188,0.812,0.0,-0.4588,negative
Unfair advantage given to high-level players who simply bought their way up.,2.0,negative,0.205,0.662,0.132,-0.2732,negative
The game runs hot on my PC. Poor optimization.,1.0,negative,0.244,0.551,0.205,-0.128,negative
"No real strategy involved, just spamming units and hoping for the best.",2.0,negative,0.261,0.394,0.345,0.4019,positive
"It's a time-sink, and not in a good way. Just waiting for timers to finish.",1.0,negative,0.147,0.853,0.0,-0.3412,negative
The chat censoring is overly aggressive and censors common English words.,3.0,negative,0.297,0.703,0.0,-0.4215,negative
The unit models look blurry when zoomed in. Low-quality assets.,1.0,negative,0.126,0.721,0.153,0.0772,positive
There are too many currencies and resources to track. Overly complicated.,2.0,negative,0.0,1.0,0.0,0.0,neutral
The defense mechanisms are easily bypassed by high-level troops. Unfun defense.,2.0,negative,0.0,0.597,0.403,0.5267,positive
It constantly crashes to the desktop during intense battles. Very frustrating.,1.0,negative,0.384,0.53,0.086,-0.6697,negative
The community is dead outside of peak hours. Hard to find alliances.,2.0,negative,0.363,0.637,0.0,-0.6908,negative
"The 'Starling' units are cute, but the gameplay is dull and repetitive.",1.0,negative,0.355,0.528,0.117,-0.6187,negative
"Updates are too infrequent, and when they arrive, they break more things than they fix.",2.0,negative,0.0,1.0,0.0,0.0,neutral
"I was expecting a full PC game, but this is clearly just a poorly scaled mobile port.",1.0,negative,0.0,0.818,0.182,0.5499,positive
The game world feels static and lifeless. Needs more interaction.,2.0,negative,0.0,1.0,0.0,0.0,neutral
The defense layout builder is tedious and difficult to use on PC.,2.0,negative,0.179,0.714,0.107,-0.25,negative
My resources are constantly depleted by massive raids. Can't progress.,1.0,negative,0.206,0.794,0.0,-0.3252,negative
The developers seem focused only on adding new ways to spend money.,1.0,negative,0.0,0.809,0.191,0.3818,positive
"Zero customer support. Tried contacting them about a bug, and got no reply.",1.0,negative,0.138,0.692,0.17,0.128,positive
This game is just another Clash of Clans copycat with a space theme.,2.0,negative,0.0,1.0,0.0,0.0,neutral
I can't recommend a game that forces me to wait days for a single upgrade.,1.0,negative,0.131,0.869,0.0,-0.2755,negative
The visuals are too cartoonish for my taste. Lacks a serious strategy feel.,2.0,negative,0.098,0.902,0.0,-0.0772,negative
It's impossible to recover if you fall behind early on. Frustrating experience.,1.0,negative,0.209,0.791,0.0,-0.4404,negative
"The controls are imprecise, leading to misclicks during crucial troop drops.",2.0,negative,0.0,1.0,0.0,0.0,neutral
The game is riddled with glitches and exploits that ruin the competitive balance.,1.0,negative,0.346,0.559,0.095,-0.6705,negative
"I was looking for a relaxing game, but the constant raiding makes it stressful.",2.0,negative,0.24,0.647,0.113,-0.5187,negative
The lack of a good tutorial really killed my motivation to continue playing.,2.0,negative,0.316,0.356,0.328,-0.1851,negative
The game is constantly trying to sell me something. Invasive monetization.,1.0,negative,0.0,1.0,0.0,0.0,neutral
"I played the original, and this revival missed the mark entirely.",2.0,negative,0.148,0.537,0.315,0.3612,positive
The balance changes are often arbitrary and break the existing meta.,3.0,negative,0.0,1.0,0.0,0.0,neutral
Way too much clicking and micromanagement for a strategy game.,2.0,negative,0.0,1.0,0.0,0.0,neutral
"I hate the energy system. I want to play when I want to play, not wait.",1.0,negative,0.159,0.431,0.409,0.4215,positive
It feels like a poorly maintained server hosting an old game.,1.0,negative,0.0,0.8,0.2,0.3612,positive
The endgame is non-existent. You hit a wall and then just grind endlessly.,2.0,negative,0.0,1.0,0.0,0.0,neutral
"The game takes forever to load, even on a fast connection.",1.0,negative,0.0,1.0,0.0,0.0,neutral
"Every update seems to introduce a new, expensive premium feature.",1.0,negative,0.0,1.0,0.0,0.0,neutral
I deleted it after a week. Not worth the time investment.,1.0,negative,0.143,0.857,0.0,-0.1695,negative
"It's too heavily reliant on having a strong alliance, which is hard to find.",2.0,negative,0.081,0.64,0.279,0.5267,positive
The time commitment is just too high for a casual game. Requires daily devotion.,2.0,negative,0.0,0.598,0.402,0.7506,positive
Visually confusing in large battles; hard to tell what's going on.,3.0,negative,0.424,0.576,0.0,-0.5994,negative
The lack of an 'undo' button for troop drops is incredibly frustrating.,2.0,negative,0.355,0.645,0.0,-0.6697,negative
The developers clearly don't care about the F2P experience.,1.0,negative,0.213,0.568,0.219,0.0186,neutral
"I constantly run out of money and wood, halting all progress immediately.",2.0,negative,0.0,0.797,0.203,0.4215,positive
"My account got hacked/stolen, and support did nothing to help me recover it.",1.0,negative,0.141,0.689,0.169,0.1134,positive
The entire game feels like one giant microtransaction advertisement.,1.0,negative,0.0,0.762,0.238,0.3612,positive
The rewards for defending your base are pitiful compared to the damage taken.,2.0,negative,0.328,0.513,0.159,-0.5106,negative
The game is inaccessible to colorblind players due to poor color choices.,3.0,negative,0.22,0.78,0.0,-0.4767,negative
I experienced a permanent bug where one of my builders stopped working.,1.0,negative,0.147,0.853,0.0,-0.2263,negative
The unit AI is so stupid; they attack walls instead of walking around them.,1.0,negative,0.392,0.608,0.0,-0.8285,negative
I regret the money I spent on this game. Not worth it at all.,1.0,negative,0.271,0.729,0.0,-0.5371,negative
The developers need to focus on stability before adding any more content.,2.0,negative,0.0,1.0,0.0,0.0,neutral
"The music is okay, but it loops every 30 seconds, driving me insane.",1.0,negative,0.222,0.688,0.091,-0.4767,negative
